word,id,sense,polarity,subjectivity,confidence
Amsterdams,r_a-16677,van Amsterdam,0.0,0.1,0.7
Angelsaksisch,r_a-8929,Engels,0.1,0.3,0.7
Arabisch,r_a-16693,van Arabië,0.0,0.3,0.7
Ardens,r_a-17252,van de Ardennen,0.0,0.0,0.7
Arnhems,r_a-16698,van Arnhem,0.0,0.1,0.7
Assens,r_a-16700,van Assen,0.0,0.1,0.7
Boedapests,r_a-16745,van Boedapest,0.0,0.1,0.7
Bourgondisch,r_a-17258,uitbundig,0.8,0.9,0.7
Brussels,r_a-17261,van Brussel,0.0,0.1,0.7
Byzantijns,r_a-9514,uit Byzantium,0.0,0.0,0.7
Eindhovens,r_a-16807,van Eindhoven,0.0,0.1,0.7
Emmens,r_a-16810,van Emmen,0.0,0.1,0.7
Enschedees,r_a-16811,van Enschede,0.0,0.1,0.7
Flevolands,r_a-16825,van Flevoland,0.0,0.1,0.7
Gronings,r_a-16844,van Groningen,0.0,0.1,0.7
Hollands,r_a-17274,van Holland,0.0,0.1,0.7
IJslands,r_a-16869,van IJsland,0.0,0.0,0.7
Jakartaans,r_a-16881,van Jakarta,0.0,0.1,0.7
Lelystads,r_a-16945,van Lelystad,0.0,0.1,0.7
Londens,r_a-16963,van Londen,0.0,0.1,0.7
Macaus,r_a-16972,van Macau,0.0,0.1,0.7
Moskous,r_a-17018,van Moskou,0.0,0.1,0.7
Nederlandstalig,r_a-13099,Nederlands als moeder- of voertaal,0.0,0.0,0.7
Neurenbergs,r_a-17036,van Neurenberg,0.7,0.9,0.7
Oost-Europees,r_a-17063,van Oost-Europa,-0.2,0.5,0.7
Romaans,r_a-14617,oude bouwstijl,0.0,0.1,0.7
Romaans,r_a-14618,aan het Latijn verwant,0.0,0.1,0.7
Romeins,r_a-17285,van Rome,0.7,0.9,0.7
Sanmarinees,r_a-17121,van San Marino,0.0,0.0,0.7
Siciliaans,r_a-17138,van Sicilië,0.0,0.0,0.7
Transsylvanisch,r_a-17186,van Transsylvanië,0.0,0.0,0.7
Trojaans,r_a-15517,van Troje,-0.4,0.9,0.7
Utrechts,r_a-17204,van Utrecht,0.0,0.1,0.7
Victoriaans,r_a-16293,mbt. 19de-eeuwse Engeland,-0.1,0.8,0.7
aanbevelenswaardig,r_a-8843,aanbeveling verdienend,0.6,0.8,0.7
aanbiddelijk,r_a-8959,erg bekoorlijk,0.7,1.0,0.7
aandachtig,r_a-8844,oplettend,0.5,0.9,1.0
aandoenlijk,r_a-8651,vertederend,0.4,1.0,1.0
aangebrand,r_a-8961,aan de pan vastgebrand,-0.6,0.9,0.7
aangelegd,r_a-9028,aanleg hebbend,0.7,0.9,0.7
aangenaam,r_a-8654,prettig,0.5,1.0,1.0
aangeschoten,r_a-8655,een beetje dronken,-0.3,0.6,0.7
aangeslagen,r_a-8656,uit evenwicht gebracht,-0.2,0.9,0.7
aangrijpend,r_a-8660,erg ontroerend,0.4,1.0,1.0
aanhoudend,r_a-8664,voortdurend,-0.1,0.6,0.7
aanlokkelijk,r_a-8853,aantrekkelijk,0.6,0.9,0.7
aanmatigend,r_a-8668,arrogant,-0.9,1.0,0.7
aanmerkelijk,r_a-8669,aanzienlijk,0.1,0.4,0.7
aannemelijk,r_a-8670,plausibel,0.4,0.7,1.0
aanraden,r_v-184,,0.2,0.0,0.9
aanrader,r_n-2294,,0.6,0.4,0.9
aanschouwelijk,r_a-8672,zo dat je het voor je ziet,0.4,0.9,0.7
aansprakelijk,r_a-8854,verantwoordelijk,-0.3,0.5,0.7
aanstekelijk,r_a-8675,navolging opwekkend,0.6,0.9,1.0
aanstellerig,r_a-16566,geneigd tot aanstellen,-0.6,0.9,0.7
aantoonbaar,r_a-8857,aan te tonen,0.1,0.6,0.7
aantrekkelijk,r_a-8677,attractief,0.8,1.0,1.0
aanvaardbaar,r_a-8858,acceptabel,0.1,0.8,0.7
aanvallig,r_a-8967,bekoorlijk,0.3,0.7,0.7
aanvankelijk,r_a-8678,bij aanvang,0.0,0.1,1.0
aanvechtbaar,r_a-8679,betwistbaar,-0.4,0.9,1.0
aanverwant,r_a-8680,soortgelijk,0.0,0.3,0.7
aanwezig,r_a-8682,present,0.1,0.2,1.0
aanwezig,r_a-8683,voorhanden,0.1,0.4,1.0
